ImageName,Method,SSIM,PSNR,MSE,SobelEdgeStrength,LaplacianVariance,RingArtifactScore
C0.jpg,gaussian,0.997992210158015,41.1056812449134,7.75232328988174e-05,0.0326839826839827,0.0324007843458626,0.164463259380941
C0.jpg,median,0.911631809007202,25.3795154160879,0.00289766689008739,0.0249845392702536,0.0103851780763348,0.0782207659939023
C0.jpg,unsharp,0.985891431430588,31.4730115629356,0.00071235888210288,0.0380643166357452,0.0827589291682027,0.277841594893095
C1.jpg,gaussian,0.99899039181656,45.3342263093756,2.92804245230367e-05,0.0327774468929919,0.0186784928392324,0.105761939246165
C1.jpg,median,0.95062012277163,29.1304598781291,0.00122167028960701,0.0241215008933889,0.0111043537212101,0.0666758585877687
C1.jpg,unsharp,0.991140971249776,34.863670982742,0.00032631189227696,0.0388127853881279,0.0372522915609663,0.172441460600937
C2.jpg,gaussian,0.999340783932625,47.2489639854887,1.88409848975979e-05,0.0324976235741445,0.0105009479084853,0.083049698567257
C2.jpg,median,0.968699696263476,31.2919765905546,0.00074268104692112,0.0230117237008872,0.00530156430696199,0.0481172696047294
C2.jpg,unsharp,0.994464196600116,37.0133849324178,0.000198912239377935,0.0385377059569075,0.0228115900441046,0.138162585402985
C3.jpg,gaussian,0.998747871181383,48.5775151659386,1.38754949405326e-05,0.0336876876876877,0.00584791613404854,0.0734193124496527
C3.jpg,median,0.938784539103564,32.4709704122866,0.000566112779446115,0.0266006006006006,0.00217720546731181,0.0428869134387187
C3.jpg,unsharp,0.988224542037545,37.9169150927199,0.000161550568529696,0.0370510510510511,0.0148157166308589,0.119719399253984
C4.jpg,gaussian,0.996512132386193,42.8852415161757,5.14607188318079e-05,0.0260545905707196,0.0215644287760868,0.132294179744538
C4.jpg,median,0.844944250511056,27.2363837158604,0.00188956409680843,0.0242798218658078,0.00795249392763549,0.0687847747382736
C4.jpg,unsharp,0.97626165814278,33.264671424731,0.000471555546583535,0.0281415871033474,0.0560872094700483,0.227913382287485
C5.jpg,gaussian,0.99856434046225,44.253531254287,3.75531934594095e-05,0.0349893048128342,0.0159388456262847,0.118713546413684
C5.jpg,median,0.930971821433978,28.4186137735143,0.0014392579023151,0.028807486631016,0.00663409997089775,0.0737629176978602
C5.jpg,unsharp,0.986701878390691,33.7700071921556,0.000419758288847607,0.0375347593582888,0.0381404428851229,0.190207421948006
C6.jpg,gaussian,0.999438635262712,48.1847165127687,1.5188970853307e-05,0.0325135802469136,0.0155685297882696,0.0802522878747373
C6.jpg,median,0.975616973836765,32.5519433455584,0.000555655561409589,0.0307950617283951,0.0123701603529808,0.0663712381712557
C6.jpg,unsharp,0.993569731999032,36.7001776369323,0.000213787464347749,0.0344493827160494,0.0247121598136563,0.124205278372694
C7.jpg,gaussian,0.996719684865083,40.9722857793512,7.99413396887928e-05,0.0377464112919349,0.0331287229773151,0.169987150752756
C7.jpg,median,0.826178487508793,24.7511907587929,0.00334873610137883,0.029056206432351,0.0104425130607527,0.0878430196536501
C7.jpg,unsharp,0.978758831639708,31.2288437062566,0.000753556168699978,0.0402655044184094,0.0867467311227237,0.28662387670501
C8.jpg,gaussian,0.99930835942259,51.17661408544,7.62673385649618e-06,0.0265333333333333,0.00799327933573906,0.0534269702691658
C8.jpg,median,0.966948941467341,35.0293902983648,0.000314094961766843,0.020976,0.00593327229409589,0.0309578637403681
C8.jpg,unsharp,0.993774578394543,40.8171698658756,8.28481878380078e-05,0.0304373333333333,0.0128269972577241,0.0876892958388428
C9.jpg,gaussian,0.998660101310137,45.8699376634091,2.58825006541271e-05,0.0306150793650794,0.0147468971916865,0.0973461148710071
C9.jpg,median,0.94308224930829,30.6114671926682,0.000868666914841465,0.0259920634920635,0.008786101652318,0.0667820422309566
C9.jpg,unsharp,0.988502027589813,35.5683799045857,0.000277435485906837,0.034047619047619,0.0309561638982473,0.15992825557918
