Image_Name,Method,Tile_Size,Entropy,StdDev,SSIM,Bhattacharyya,LCV
D0.jpg,AHE,0,5.32189602706258,0.0640198199138081,1,0,0.000214691395541027
D0.jpg,AHE,8,6.65609444919333,0.122166513028659,0.597925079682556,0.490721809478882,0.00224040402676441
D0.jpg,AHE,16,6.52443275554251,0.108616091569713,0.588015449668869,0.489849473423559,0.00240125835617987
D0.jpg,AHE,32,6.47888058821641,0.0983986736164006,0.534746652295377,0.54117710883234,0.00282891184395479
D1.jpg,AHE,0,6.39874309134129,0.115207086760136,1,0,0.000592574140012337
D1.jpg,AHE,8,7.44495083900446,0.210870767708443,0.695411121681228,0.406591487533372,0.00386271603484817
D1.jpg,AHE,16,7.32508566079592,0.187558238529056,0.673519939548727,0.379472222861336,0.00426463615326099
D1.jpg,AHE,32,7.32735421784076,0.190380685734357,0.578196918266201,0.433826825729287,0.00587814498445404
D2.jpg,AHE,0,4.91805779455482,0.0543956649470288,1,0,0.000105322237341003
D2.jpg,AHE,8,6.37933865202604,0.135799685233638,0.748666879733188,0.427126894094154,0.00099707666480134
D2.jpg,AHE,16,6.24823258052103,0.124274998811632,0.740502004084288,0.45958155168476,0.001057647807332
D2.jpg,AHE,32,6.33756206143621,0.133635650286398,0.66046402169243,0.543746959050055,0.00151434536414017
D3.jpg,AHE,0,5.85295979770072,0.0719738701923316,1,0,0.000364447213621685
D3.jpg,AHE,8,6.9676453637539,0.13301829734143,0.722500929347312,0.487599796873481,0.00270134530402927
D3.jpg,AHE,16,6.8920511138872,0.124306381836815,0.713513161391047,0.468379747006187,0.00285348659911559
D3.jpg,AHE,32,6.95417714174064,0.127201863182763,0.627005038764507,0.503013616713297,0.00397561363670931
D4.jpg,AHE,0,5.55192045376463,0.0495989091794227,1,0,0.000504131656389553
D4.jpg,AHE,8,7.0074012272907,0.127040954435867,0.577698995906584,0.612835044735758,0.00527685846489719
D4.jpg,AHE,16,6.95228183916152,0.121637309188396,0.569443588128784,0.588796514917342,0.00555829619996248
D4.jpg,AHE,32,7.12145102570477,0.137400887950764,0.457691238395825,0.646780570078375,0.00812924813241761
L0.jpg,AHE,0,6.35101289714065,0.22234840940674,1,0,0.00167888558381911
L0.jpg,AHE,8,7.27359294515585,0.247095119916262,0.781295241800932,0.461624932325244,0.00611649557761041
L0.jpg,AHE,16,7.18507245579041,0.234527147115562,0.754480292778696,0.474319384987799,0.00707106507540931
L0.jpg,AHE,32,7.11726785617845,0.239384407360447,0.730877902997877,0.559500118154057,0.00774553493382886
L1.jpg,AHE,0,7.14405949835107,0.198135621666273,1,0,0.00320906334769459
L1.jpg,AHE,8,7.62033317726604,0.238744786550263,0.774399089320393,0.359253319506538,0.00715590649418396
L1.jpg,AHE,16,7.57185573357032,0.225891832262983,0.77381490708333,0.337028842696616,0.00719079835397212
L1.jpg,AHE,32,7.47612813979199,0.207243314814261,0.733115472168024,0.366422983526126,0.00750455475561132
L2.jpg,AHE,0,6.38053473752836,0.23136783190765,1,0,0.00296075154290879
L2.jpg,AHE,8,7.39879886258357,0.272729757785798,0.794772487206848,0.544955297363714,0.00988835542133633
L2.jpg,AHE,16,7.18144026375484,0.263296025551769,0.794400308527544,0.541427740346162,0.0100074962676614
L2.jpg,AHE,32,6.94153388140234,0.264532396438744,0.783093694221894,0.561815314831643,0.0101240868685077
L3.jpg,AHE,0,6.28296652796404,0.223679148675428,1,0,0.00237750404060258
L3.jpg,AHE,8,7.3414813836068,0.269778278697428,0.83676769818427,0.534824052297507,0.00573998120439816
L3.jpg,AHE,16,7.28691613862959,0.256044443312276,0.796754382614801,0.532592721356368,0.0069150255752415
L3.jpg,AHE,32,7.20016344791223,0.250947593447095,0.761117358998251,0.564531489893299,0.00763981619232383
L4.jpg,AHE,0,6.92566162825952,0.139137725574956,1,0,0.00538684053048685
L4.jpg,AHE,8,7.90378188478951,0.273077586355631,0.671957987719249,0.437396414670389,0.0279319547529885
L4.jpg,AHE,16,7.85803885401127,0.265037512333481,0.667593962791906,0.421606192025109,0.0301432033148927
L4.jpg,AHE,32,7.80142312472916,0.259732702368973,0.666712331100089,0.445488186444844,0.0307222854745694
