Image_Name,Method,SSIM,PSNR,MSE,Sobel_Edge,Laplacian_Var,Ring_Artifact_Score
C0.jpg,gaussian,0.999999999982604,121.493293062895,7.0903993047342e-13,0.0339208410636982,0.0438050995153558,0.195993392095763
C0.jpg,median,0.911631809007202,25.3795154160879,0.00289766689008739,0.0249845392702536,0.0103851780763348,0.0782207659939023
C0.jpg,unsharp,0.985891431430588,31.4730115629356,0.00071235888210288,0.0380643166357452,0.0827589291682027,0.277841594893095
C1.jpg,gaussian,0.999999999991276,125.799868848093,2.63034742414398e-13,0.03394877903514,0.0226267162240481,0.123006519322177
C1.jpg,median,0.95062012277163,29.1304598781291,0.00122167028960701,0.0241215008933889,0.0111043537212101,0.0666758585877687
C1.jpg,unsharp,0.991140971249776,34.863670982742,0.00032631189227696,0.0388127853881279,0.0372522915609663,0.172441460600937
C2.jpg,gaussian,0.999999999994287,127.68447077101,1.70432699505998e-13,0.0338244613434728,0.0130946171865353,0.0973044941382865
C2.jpg,median,0.968699696263476,31.2919765905546,0.00074268104692112,0.0230117237008872,0.00530156430696199,0.0481172696047294
C2.jpg,unsharp,0.994464196600116,37.0133849324178,0.000198912239377935,0.0385377059569075,0.0228115900441046,0.138162585402985
C3.jpg,gaussian,0.999999999989228,129.052247325444,1.24387078460754e-13,0.0347267267267267,0.0076588810543862,0.0848352770750367
C3.jpg,median,0.938784539103564,32.4709704122866,0.000566112779446115,0.0266006006006006,0.00217720546731181,0.0428869134387187
C3.jpg,unsharp,0.988224542037545,37.9169150927199,0.000161550568529696,0.0370510510510511,0.0148157166308589,0.119719399253984
C4.jpg,gaussian,0.999999999969752,123.267463605097,4.71252469978656e-13,0.0265064992687296,0.0289686140015388,0.157770823967664
C4.jpg,median,0.844944250511056,27.2363837158604,0.00188956409680843,0.0242798218658078,0.00795249392763549,0.0687847747382736
C4.jpg,unsharp,0.97626165814278,33.264671424731,0.000471555546583535,0.0281415871033474,0.0560872094700483,0.227913382287485
C5.jpg,gaussian,0.999999999987652,124.69384000373,3.39325110840307e-13,0.0355882352941176,0.0208750323973628,0.137869351238191
C5.jpg,median,0.930971821433978,28.4186137735143,0.0014392579023151,0.028807486631016,0.00663409997089775,0.0737629176978602
C5.jpg,unsharp,0.986701878390691,33.7700071921556,0.000419758288847607,0.0375347593582888,0.0381404428851229,0.190207421948006
C6.jpg,gaussian,0.999999999995121,128.711892927683,1.3452738715418e-13,0.0329876543209877,0.0173623618111249,0.0905832612208064
C6.jpg,median,0.975616973836765,32.5519433455584,0.000555655561409589,0.0307950617283951,0.0123701603529808,0.0663712381712557
C6.jpg,unsharp,0.993569731999032,36.7001776369323,0.000213787464347749,0.0344493827160494,0.0247121598136563,0.124205278372694
C7.jpg,gaussian,0.999999999972673,121.410217938566,7.22733534326709e-13,0.0382528956242419,0.0451337835404917,0.202057728612499
C7.jpg,median,0.826178487508793,24.7511907587929,0.00334873610137883,0.029056206432351,0.0104425130607527,0.0878430196536501
C7.jpg,unsharp,0.978758831639708,31.2288437062566,0.000753556168699978,0.0402655044184094,0.0867467311227237,0.28662387670501
C8.jpg,gaussian,0.999999999994005,131.627541073248,6.87457560622959e-14,0.0276213333333333,0.00901799960390851,0.062284990055502
C8.jpg,median,0.966948941467341,35.0293902983648,0.000314094961766843,0.020976,0.00593327229409589,0.0309578637403681
C8.jpg,unsharp,0.993774578394543,40.8171698658756,8.28481878380078e-05,0.0304373333333333,0.0128269972577241,0.0876892958388428
C9.jpg,gaussian,0.999999999988348,126.297442897599,2.34560949098417e-13,0.031547619047619,0.0182636742606268,0.113892304912815
C9.jpg,median,0.94308224930829,30.6114671926682,0.000868666914841465,0.0259920634920635,0.008786101652318,0.0667820422309566
C9.jpg,unsharp,0.988502027589813,35.5683799045857,0.000277435485906837,0.034047619047619,0.0309561638982473,0.15992825557918
