sigma,SSIM,PSNR,MSE,Sobel,LaplacianVar,Ring,Score
0.2,0.999999999982604,121.493293062895,7.0903993047342e-13,0.0339208410636982,0.0438050995153558,0.195993392095763,36.8361611737098
0.4,0.997992210158015,41.1056812449134,7.75232328988174e-05,0.0326839826839827,0.0324007843458626,0.164463259380941,12.7209556559788
0.6,0.968998440313976,29.709946128707,0.00106906814020759,0.0286332714904143,0.0127673393580741,0.0866139979542329,9.2959549692131
0.8,0.937041580748314,26.7835592430457,0.00209722041053186,0.025417439703154,0.00800886980473772,0.0527494178935424,8.40774237233343
