sigma,SSIM,PSNR,MSE,Sobel,LaplacianVar,Ring,Score
0.2,0.999999999972673,121.410217938566,7.22733534326709e-13,0.0382528956242419,0.0451337835404917,0.202057728612499,36.8111982766139
0.4,0.996719684865083,40.9722857793512,7.99413396887928e-05,0.0377464112919349,0.0331287229773151,0.169987150752756,12.6804544119691
0.6,0.944219209926444,29.4158423863467,0.00114397296572111,0.0347608194383355,0.0117887308780919,0.0878059097729409,9.19820036663236
0.8,0.884927063316268,26.4729340749453,0.00225271677211681,0.0319618270755861,0.00668342454605496,0.0516093330397398,8.29432936799107
