sigma,SSIM,PSNR,MSE,Sobel,LaplacianVar,Ring,Score
0.2,0.999999999995121,128.711892927683,1.3452738715418e-13,0.0329876543209877,0.0173623618111249,0.0905832612208064,39.009544553794
0.4,0.999438635262712,48.1847165127687,1.5188970853307e-05,0.0325135802469136,0.0155685297882696,0.0802522878747373,14.8519718712547
0.6,0.990867632414016,36.2347143199658,0.000237973483538126,0.0312493827160494,0.0118877404382134,0.0533205969138553,11.265719204231
0.8,0.979126180867,32.6327228276202,0.000545415803130843,0.0300049382716049,0.010540314783837,0.0393763490084757,10.1815296694573
