sigma,SSIM,PSNR,MSE,Sobel,LaplacianVar,Ring,Score
0.2,0.999999999969752,123.267463605097,4.71252469978656e-13,0.0265064992687296,0.0289686140015388,0.157770823967664,37.3700095104471
0.4,0.996512132386193,42.8852415161757,5.14607188318079e-05,0.0260545905707196,0.0215644287760868,0.132294179744538,13.2557046456955
0.6,0.946298104053043,31.5068196414299,0.000706834983308244,0.0244030696925378,0.0089727069872177,0.070263975910979,9.82680563062874
0.8,0.891313916236891,28.585432087309,0.0013850223807278,0.0227268992490099,0.00595922428811074,0.0439554262143852,8.93048976018166
