sigma,SSIM,PSNR,MSE,Sobel,LaplacianVar,Ring,Score
0.2,0.999999999991276,125.799868848093,2.63034742414398e-13,0.03394877903514,0.0226267162240481,0.123006519322177,38.133317552018
0.4,0.99899039181656,45.3342263093756,2.92804245230367e-05,0.0327774468929919,0.0186784928392324,0.105761939246165,13.9944305215455
0.6,0.983711727634153,33.6416211867031,0.000432352407198473,0.028667857851896,0.0112758347404246,0.0614967220835074,10.4837725088748
0.8,0.96490426856674,30.4196338130924,0.000907897078700389,0.0245979749851102,0.00913728475711672,0.0405449531547258,9.51108009230531
