sigma,SSIM,PSNR,MSE,Sobel,LaplacianVar,Ring,Score
0.2,0.999999999988348,126.297442897599,2.34560949098417e-13,0.031547619047619,0.0182636742606268,0.113892304912815,38.2828247681146
0.4,0.998660101310137,45.8699376634091,2.58825006541271e-05,0.0306150793650794,0.0147468971916865,0.0973461148710071,14.1552443374653
0.6,0.979009905793585,34.3043787282418,0.000371160821404761,0.0270634920634921,0.00844945906587452,0.0568813630104824,10.6807436235197
0.8,0.955452036470931,31.1373980016971,0.000769591389209067,0.0240674603174603,0.00670198566095125,0.0390449279201087,9.7224957077644
