sigma,SSIM,PSNR,MSE,Sobel,LaplacianVar,Ring,Score
0.2,0.999999999994005,131.627541073248,6.87457560622959e-14,0.0276213333333333,0.00901799960390851,0.062284990055502,39.8856977562603
0.4,0.99930835942259,51.17661408544,7.62673385649618e-06,0.0265333333333333,0.00799327933573906,0.0534269702691658,15.7508167709676
0.6,0.988983295079788,39.5345901075389,0.000111311744523457,0.0228586666666667,0.00608540395701645,0.030746380533249,12.2557789881282
0.8,0.976354477034505,36.3449045346004,0.000232011518513286,0.0201653333333333,0.00554022537531917,0.0199716176847374,11.2945633441445
