Method,Entropy,StdDev,SSIM,Bhattacharyya,LCV
GHE,6.98750110438965,0.290000304135845,0.810937530393202,0.633443210958211,0.00601409846879476
AHE,7.62033317726604,0.238744786550263,0.774399089320393,0.359253319506538,0.00715590649418396
CLAHE,7.8931309997776,0.26251746856804,0.538515751942747,0.368949447557891,0.0139365029970918
