Method,Entropy,StdDev,SSIM,Bhattacharyya,LCV
GHE,5.23585476490677,0.289491677626941,0.195120718615054,0.922788099488956,0.0178559888685705
AHE,6.65609444919333,0.122166513028659,0.597925079682556,0.490721809478882,0.00224040402676441
CLAHE,7.9046714660131,0.245184224230861,0.0865566997384629,0.727461304687718,0.0451344942661669
