Method,Entropy,StdDev,SSIM,Bhattacharyya,LCV
GHE,5.83503218426726,0.289660662464101,0.426672814492157,0.888819809925606,0.00555834405616287
AHE,6.9676453637539,0.13301829734143,0.722500929347312,0.487599796873481,0.00270134530402927
CLAHE,7.82576268061892,0.226544626922452,0.227392318224781,0.697021811527768,0.0144517173591812
