Method,Entropy,StdDev,SSIM,Bhattacharyya,LCV
GHE,6.06366674994917,0.2883391372649,0.654992499763915,0.734484491549529,0.00443577844589605
AHE,7.3414813836068,0.269778278697428,0.83676769818427,0.534824052297507,0.00573998120439816
CLAHE,7.66738884506937,0.281797574363843,0.682893026833522,0.513943207147189,0.00748425536774441
