Method,Entropy,StdDev,SSIM,Bhattacharyya,LCV
GHE,6.07673651648664,0.28887926687917,0.583925212440399,0.719532445717669,0.00373407049676256
AHE,7.27359294515585,0.247095119916262,0.781295241800932,0.461624932325244,0.00611649557761041
CLAHE,7.74290189305744,0.274918167333682,0.544194712434147,0.488296216985991,0.0107674974522317
