sigma,SSIM,PSNR,MSE,Sobel,LaplacianVar,Ring,Score
0.4,0.999340783932625,47.2489639854887,1.88409848975979e-05,0.0324976235741445,0.0105009479084853,0.083049698567257,14.5704185124127
0.6,0.989611516570801,35.6635794634491,0.000271420129678103,0.026992237008872,0.00580910240206998,0.0474527671824957,11.0934261608729
0.8,0.978135516575128,32.5232840990468,0.000559334477415988,0.0231899556400507,0.00452888915453572,0.0314112144036501,10.1478142659354
1,0.968989874576753,30.9927850191381,0.00079564895751174,0.020595690747782,0.00408842843673548,0.0234777947211501,9.68547252312273
