sigma,SSIM,PSNR,MSE,Sobel,LaplacianVar,Ring,Score
0.4,0.996512132386193,42.8852415161757,5.14607188318079e-05,0.0260545905707196,0.0215644287760868,0.132294179744538,13.2557046456955
0.6,0.946298104053043,31.5068196414299,0.000706834983308244,0.0244030696925378,0.0089727069872177,0.070263975910979,9.82680563062874
0.8,0.891313916236891,28.585432087309,0.0013850223807278,0.0227268992490099,0.00595922428811074,0.0439554262143852,8.93048976018166
1,0.85125594437815,27.2440715114513,0.00188622218633414,0.021428688807454,0.0050307270807512,0.0317443118134812,8.5130067193755
