sigma,SSIM,PSNR,MSE,Sobel,LaplacianVar,Ring,Score
0.4,0.999438635262712,48.1847165127687,1.5188970853307e-05,0.0325135802469136,0.0155685297882696,0.0802522878747373,14.8519718712547
0.6,0.990867632414016,36.2347143199658,0.000237973483538126,0.0312493827160494,0.0118877404382134,0.0533205969138553,11.265719204231
0.8,0.979126180867,32.6327228276202,0.000545415803130843,0.0300049382716049,0.010540314783837,0.0393763490084757,10.1815296694573
1,0.967718798352839,30.6795777236527,0.000855149857390996,0.0288987654320988,0.00993265643376929,0.0313144506151532,9.59162701857627
