sigma,SSIM,PSNR,MSE,Sobel,LaplacianVar,Ring,Score
0.4,0.998747871181383,48.5775151659386,1.38754949405326e-05,0.0336876876876877,0.00584791613404854,0.0734193124496527,14.9693639398419
0.6,0.979413438855141,36.8418934089336,0.000206923901869361,0.0299159159159159,0.00236962125586217,0.0438383247133434,11.4431574270778
0.8,0.954078702366041,33.5427125471369,0.00044231202370316,0.0264504504504505,0.00129204583501424,0.0291365578785181,10.4442616077258
1,0.93149952194014,31.8963151794403,0.000646202274118785,0.0232672672672673,0.000891772411751496,0.0212552931504606,9.94172011703359
