sigma,SSIM,PSNR,MSE,Sobel,LaplacianVar,Ring,Score
0.4,0.99899039181656,45.3342263093756,2.92804245230367e-05,0.0327774468929919,0.0186784928392324,0.105761939246165,13.9944305215455
0.6,0.983711727634153,33.6416211867031,0.000432352407198473,0.028667857851896,0.0112758347404246,0.0614967220835074,10.4837725088748
0.8,0.96490426856674,30.4196338130924,0.000907897078700389,0.0245979749851102,0.00913728475711672,0.0405449531547258,9.51108009230531
1,0.949443729933464,28.8430710694623,0.00130524756910784,0.0219972205677983,0.00838139846842693,0.0299443822592314,9.03261171173287
