Amount,SSIM,PSNR,MSE,Sobel,LaplacianVar,Ring,Score
0.5,0.978758831639708,31.2288437062566,0.000753556168699978,0.0402655044184094,0.0867467311227237,0.28662387670501,9.7441201247996
1,0.933124069670169,25.208243792977,0.00301422467479991,0.0424247270982446,0.135468679468605,0.361311893145142,7.91707949463585
1.5,0.879346569996222,21.6864186118633,0.00678200551829981,0.0440374798405907,0.188801294716383,0.428400753638389,6.83742981309752
2,0.824697719793752,19.1876438796973,0.0120568986991997,0.0462500166606688,0.244518182275227,0.488741621493971,6.06516921970098
