Image_Name,Method,Tile_Size,Clip_Limit,Entropy,StdDev,SSIM,Bhattacharyya,LCV
D0.jpg,CLAHE,0,0,5.32189602706258,0.0640198199138081,1,0,0.000214691395541027
D0.jpg,CLAHE,8,2,7.14226511096456,0.150670231709596,0.35079578304669,0.578416794941986,0.00578238526410524
D0.jpg,CLAHE,8,4,7.63638400883276,0.196945606436797,0.181986701286981,0.676741004778768,0.0159748025319128
D0.jpg,CLAHE,8,6,7.84759687598809,0.230663564026132,0.132311785316855,0.71745115643709,0.0267716995269213
D0.jpg,CLAHE,8,8,7.93678980155277,0.254026256005177,0.114209590674454,0.733002137761639,0.0357071143704583
D0.jpg,CLAHE,16,2,7.00805136572753,0.135957112087769,0.339047532513255,0.575276233335349,0.00630815836705064
D0.jpg,CLAHE,16,4,7.5323779644911,0.18151567614698,0.169723133506312,0.671607063605608,0.0174505315360571
D0.jpg,CLAHE,16,6,7.79769647165941,0.220918529296486,0.116993205307256,0.713545651847698,0.0304308744972971
D0.jpg,CLAHE,16,8,7.92109245713249,0.24880416435898,0.0966688394366054,0.731213914371182,0.0414331795377812
D0.jpg,CLAHE,32,2,6.93404057645413,0.125814210648053,0.324461800904729,0.576529604520631,0.0068746293878443
D0.jpg,CLAHE,32,4,7.50302452186697,0.177497259970681,0.152847374532162,0.676498077630858,0.0198107421234423
D0.jpg,CLAHE,32,6,7.76648902954405,0.215798271869889,0.105706243028008,0.712096679576783,0.0333346060377287
D0.jpg,CLAHE,32,8,7.9046714660131,0.245184224230861,0.0865566997384629,0.727461304687718,0.0451344942661669
D1.jpg,CLAHE,0,0,6.39874309134129,0.115207086760136,1,0,0.000592574140012337
D1.jpg,CLAHE,8,2,7.70319030137858,0.244627068891375,0.528177985611971,0.470215587232438,0.00658947602111351
D1.jpg,CLAHE,8,4,7.84794972614097,0.260727965108037,0.402823426279037,0.518228424990184,0.0090546268255664
D1.jpg,CLAHE,8,6,7.88250050920818,0.258677241663797,0.355726533305183,0.536482033903716,0.0097439410845493
D1.jpg,CLAHE,8,8,7.89278826580076,0.254360150047258,0.332902798874058,0.552028367133591,0.0101051769611758
D1.jpg,CLAHE,16,2,7.61560186021305,0.222726030049014,0.479970305189039,0.456426017813196,0.00824674058176953
D1.jpg,CLAHE,16,4,7.80161657717033,0.244372286443093,0.339609622071232,0.507077249140842,0.0129321131677457
D1.jpg,CLAHE,16,6,7.86061991087012,0.248276844137954,0.284290562102965,0.535029738591707,0.0149643907224566
D1.jpg,CLAHE,16,8,7.88827569448965,0.247547592250696,0.259489534155432,0.553626924333224,0.0160019108131738
D1.jpg,CLAHE,32,2,7.49993561410946,0.208201945164972,0.417574623485436,0.476461611428379,0.0104446053888347
D1.jpg,CLAHE,32,4,7.66418907551283,0.228083561194629,0.29444020069118,0.51083837887952,0.0163297084397376
D1.jpg,CLAHE,32,6,7.77969017394392,0.237513082426615,0.234011951659895,0.538496638720397,0.0202887900598817
D1.jpg,CLAHE,32,8,7.82263773302446,0.239524220724124,0.210376136080023,0.555885868614634,0.0221429820407931
D2.jpg,CLAHE,0,0,4.91805779455482,0.0543956649470288,1,0,0.000105322237341003
D2.jpg,CLAHE,8,2,6.88849450713941,0.181328170952404,0.566042616891934,0.515553591921981,0.0021193360141781
